"","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5"
"Cst3",164.252908294304,78.175061824808,178.985395249911,117.602848216232
"Hbb-bs",108.290300649645,67.4429259403879,181.226657213754,116.800697522343
"Arf1",0.636500982021453,0.33502538071066,0.721020914569302,0.583375717503451
"Hbb-bt",19.3736213929597,9.89977873226604,18.5519319390287,21.0507883455642
"P2ry12",3.86327239764315,2.88428999088898,4.40758596242467,4.47010099542251
"Csf1r",7.18620637558544,6.09124040088507,7.31052818149592,7.25677541233743
"Marcks",2.91056050762955,2.39619940127554,2.71237149946827,3.30901692944852
"Sirpa",1.38797401420154,1.24157230248601,1.36866359447005,1.81639177504904
"Cx3cr1",6.10031726846956,5.20838214239229,6.66976249556895,6.37666206495677
"Ecscr",0.386463211965554,0.338409475465313,0.375398794753633,0.636489137542687
"Hspa1b",3.0361837135519,2.78992581023038,3.77965260545906,4.60175833757175
"Ighm",0.630684393412902,0.484966809839906,0.554058844381425,0.80425779263242
"Laptm5",5.00543888804955,4.27931797474945,4.55008862105636,5.25052677468575
"Lpcat2",1.51692098504306,1.2884289990889,1.43169088975541,1.76393228220591
"Lst1",0.44757516241124,0.257972146297019,0.366678482807515,0.513914117561578
"Malat1",59.6643752832754,48.2056488350905,59.3990783410138,57.8017874010027
"S100a8",0.634008158332074,0.253807106598985,0.937752570010635,0.772142701445906
"Siglech",2.01979150929143,1.56462319406482,1.8811768876285,2.19741335464652
"Adgrg1",0.643903912977791,0.450865547312248,0.718468628146048,0.739809634527356
"Aif1",1.55121619579997,1.26942600546661,1.4110599078341,1.76451355082467
"Fscn1",0.664828523946215,0.463881296368606,0.543069833392414,0.734796192690547
"Gpr34",2.52032029007403,1.73799297149551,2.47507975895073,2.46835718956623
"Hexa",2.69255174497658,1.82663022256931,2.4907479617157,2.24158976967231
"Hsph1",0.690134461399003,0.620721072497722,0.781070542360865,1.25517692363584
"Macf1",0.594727300196404,0.519328387348692,0.578660049627792,0.740536220300806
"P2ry13",0.884348088835171,0.710920213458284,0.875363346331088,1.14422727602994
"S100a9",0.931711738933374,0.327736561239099,1.48138957816377,0.98045484269418
"Sparc",7.45837739839855,5.26291813093844,7.28798298475718,6.76444089224733
"Tmem119",3.52100015108022,2.80671612651308,3.96419709322935,3.59856136016857
"Basp1",2.10424535428312,1.74150722374073,1.88032612548742,2.32616435370195
"Bin1",1.56843934129023,1.24886112195757,1.34937965260546,1.67245513332849
"Col27a1",0.319987913582112,0.245737342184043,0.36944345976604,0.392719610550025
"Cyth4",1.30012086417888,1.00598724456592,1.11308046791918,1.28438567172855
"Mpeg1",1.3211210152591,1.12000520629962,1.1889400921659,1.3115599796556
"Tanc2",0.69761293246714,0.439151373161525,0.632045373980858,0.691346363438204
"Tgfbr1",1.73017072065267,1.22686450605232,1.59007444168734,1.57981544721354
"Arhgap5",1.07523795135217,0.828712742418326,0.995108117688763,1.04475768364455
"Cfh",0.799743163619882,0.623714694780685,0.749805033676001,0.768437114001308
"Ckb",1.75313491463967,1.52518547442405,1.77079049982276,2.03255104265059
"Epb41l2",1.1547061489651,1.00468566966029,1.15193193902871,1.27196105500254
"Golm1",0.683486931560659,0.611610048158271,0.653314427507976,0.807672745767638
"Hba-a2",23.8259555824143,14.6481843030066,36.4261609358384,23.9159340260118
"Hexb",23.6505514428161,19.1724586749967,24.0241758241758,20.7560851558526
"Hpgds",0.877322858437831,0.819862033060003,0.843956043956044,1.09881566518928
"Hspa1a",17.8192325124641,16.2596641936743,17.0334633108827,19.8751725641212
"Nav2",0.635292340232664,0.360145776389431,0.511804324707551,0.545665915861367
"Rgs10",2.40111799365463,2.1418716647143,2.21736972704715,2.86674416914917
"Selplg",5.68265599033087,4.93609267213328,5.46926621765331,5.79960764368234
"Vsir",2.40693458226318,2.1869061564493,2.47217298830202,2.66620649567681
"Acp2",0.227980057410485,0.176363399713654,0.185253456221198,0.242679648332486
